Item,Lot,1,2,3,4,5,6,7,8,9,10,Total
,,UNI529,HT-177,SCH176,,,,,,,
Tuna-A,219999,66,44,,,,,,,,,110
Tuna Tatakimi22,20201012,,66,44,,,,,,,,110
ASC Atl Salmon,03302022,110,66,,,,,,,,,176
ASC Atl Salmon,2005310/033020,,,440,,,,,,,,440
F. W. Eel,20190920,,,11,,,,,,,,11
Shr Tray Vannam,20200815,2,,,,,,,,,,2
Shr Tray Vannam,20200825,,2,2,,,,,,,,4
Tempura Shrimp,09252022,25,,2,,,,,,,,27
Baby Shrimp 5lb,2019804,4,,,,,,,,,,4
Crab Stick HG,B-OJ29,10,4,22,,,,,,,,36
AFCCrabShredded,A-OJ19,,,2,,,,,,,,2
AFCCrabShredded,A-OJ30,7,2,,,,,,,,,9
Real Crab,,50,,,,,,,,,,50
Ntl. Tmp. Crisp,SQ09QZ,,,1,,,,,,,,1
Seabreeze Sal,20201013,2,,,,,,,,,,2
Seabreeze Sal,20201019,2,,2,,,,,,,,4
Calamari Salad,20201017,,,1,,,,,,,,1
Grilled Dumplin,20201002,,2,2,,,,,,,,4
CrspyChic30#CS,092921,,,3,,,,,,,,3
#3TeriChickenOH,100621,,3,,,,,,,,,3
ChickenSkewers,20200912,1,1,1,,,,,,,,3
Ginger B 20LB,OCT142020,3,,,,,,,,,,3

1. United Market 529, TX,ALV
2. Harris Teeter 177, VA,ALV
3. Schnucks 176, MO,ALV
4. , ,
5. , ,
6. , ,
7. , ,
8. , ,
9. , ,
10. , ,
