ProductCode,CustomerClass,IsAllowed
0001_UOMEACH,1KRO,No
0001_UOMEACH,1KRO-ST,No
0001_UOMEACH,1KRO-ST-COMP,No
0001_UOMEACH,1KRO-ST-KO,No
0001_UOMEACH,1KRO-STM,No
0001_UOMEACH,1KRO-STM-KO,No
0001_UOMEACH,1MDB,No
0001_UOMEACH,1MDB-NON6,No
0001_UOMEACH,1MDB-NON6-NOGAR,No
0001_UOMEACH,1SAF,No
0001_UOMEACH,1SAF-AFCCONT,No
0001_UOMEACH,1SAF-NON6,No
0001_UOMEACH,1SAF-WRAPS-NON6,No
0001_UOMEACH,1SHA,No
0001_UOMEACH,1SHA-AFC,No
0001_UOMEACH,A,Yes
0001_UOMEACH,ALB-UNITED-OWN,No
0001_UOMEACH,AMZ,No
0001_UOMEACH,BGY,No
0001_UOMEACH,CUB,No
0001_UOMEACH,DON,No
0001_UOMEACH,HOTFOODKITCHEN,Yes
0001_UOMEACH,HT-AFC,No
0001_UOMEACH,JEW,No
0001_UOMEACH,KOSSAFOK-KO,No
0001_UOMEACH,KOW,No
0001_UOMEACH,KRO,No
0001_UOMEACH,KRO-NOGARI,No
0001_UOMEACH,KRO-SE1,No
0001_UOMEACH,KRO-SE1-KO,No
0001_UOMEACH,LOC-NON6,No
0001_UOMEACH,LOC-STM,No
0001_UOMEACH,MIL,No
0001_UOMEACH,MIL-NON6,No
0001_UOMEACH,MOL,No
0001_UOMEACH,MTN,No
0001_UOMEACH,NAT,No
0001_UOMEACH,NAT-CA,No
0001_UOMEACH,OLIVERS,No
0001_UOMEACH,PRC,No
0001_UOMEACH,PUB,No
0001_UOMEACH,PUB-GREEN,No
0001_UOMEACH,PUB-KO,No
0001_UOMEACH,PUB-STM,No
0001_UOMEACH,RAY,No
0001_UOMEACH,RAY-NON6,No
0001_UOMEACH,RLF-NON6,No
0001_UOMEACH,RLF-NON6-KO,No
0001_UOMEACH,RUS,No
0001_UOMEACH,SAFNO,No
0001_UOMEACH,SAFNO-COMP,No
0001_UOMEACH,SAFNO-EEL,No
0001_UOMEACH,SAFNO-NON6,No
0001_UOMEACH,SAFNO-SAL,No
0001_UOMEACH,SAFNO-SAL-COMP,No
0001_UOMEACH,SAFOK,No
0001_UOMEACH,SAFOK-DIMSUM,No
0001_UOMEACH,SAFOK-EEL,No
0001_UOMEACH,SAFOK-KO,No
0001_UOMEACH,SAFOK-N6-NG-DIM,No
0001_UOMEACH,SAFOK-NON6,No
0001_UOMEACH,SAFOK-NON6-NOGA,No
0001_UOMEACH,SPECIAL,No
0001_UOMEACH,SPECOK,No
0001_UOMEACH,SPECOK-NON6,No
0001_UOMEACH,SPECOK-NON6-NOG,No
0001_UOMEACH,SUPAFC,No
0001_UOMEACH,SUPAFC-NOGARI,No
0001_UOMEACH,TESTCLASS,Yes
0001_UOMEACH,TOY,No
0001_UOMEACH,TWY,No
0001_UOMEACH,UNITED,No
0001_UOMEACH,UNV-S-R-F,No
0001_UOMEACH,UNV1,No
0001_UOMEACH,UNV1-AFC,No
0001_UOMEACH,UNV1-AFC-NOGARI,No
0001_UOMEACH,UNV2,No
0001_UOMEACH,UNV2-AFC,No
0001_UOMEACH,UNV2-AFC-COMP,No
0001_UOMEACH,UNV2-AFC-NOGARI,No
0001_UOMEACH,UNV2-COMP,No
0001_UOMEACH,WAL,No
0001_UOMEACH,WAL-NON6,No
